,Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period,AREA,PERIMETER,PL06_D00_,PL06_D00_I,STATE,PLC,PLACEFP,NAME,LSAD,LSAD_TRANS,geometry,Merge Name
0,Alameda city,0.25752290856720594,7.946666666666666,0.6798900415565109,43.61333333333334,0.02247709143279405,0.64,0.04010995844348905,2.4,6.0,1.0,6.0,recovery 2013-2017,0.00301126637399696,0.343928363645249,595.0,594.0,06,0010,00562,Alameda,58,city,"POLYGON ((-122.312471 37.794484, -122.29478 37.792528, -122.28428 37.793828, -122.27508 37.791928, -122.27418 37.791328, -122.26838 37.788028, -122.25788 37.784228, -122.25668 37.785428, -122.25478 37.786728, -122.25058 37.786128, -122.24618 37.783428, -122.244979 37.780928, -122.244879 37.777328, -122.236479 37.771528, -122.229979 37.768728, -122.224979 37.764028, -122.223779 37.754428, -122.224579 37.753028, -122.225479 37.749729, -122.226379 37.746929, -122.226666 37.74511, -122.225153 37.744758, -122.225566 37.731899, -122.22664 37.730371, -122.226314 37.726553, -122.22806 37.726867, -122.236079 37.71863, -122.246179 37.725629, -122.248779 37.727829, -122.2500426239827 37.72675460622088, -122.255989070994 37.73567427365123, -122.2570168998267 37.73772993131676, -122.2579525843163 37.73960130029583, -122.2571344627494 37.74500097778643, -122.2522256762728 37.74761899502103, -122.2509076558844 37.7481028400872, -122.2485257523208 37.74897723649069, -122.2449378901965 37.75029434008196, -122.242638273603 37.75374376497215, -122.2440130038435 37.75466815283276, -122.2479567294682 37.75731996915691, -122.253451548436 37.76101476236099, -122.2537530809487 37.76121751704408, -122.2621172438337 37.76400557033855, -122.2641013593329 37.76466694193427, -122.2720233259649 37.76654673150865, -122.2754077970621 37.7673498267221, -122.2793230070138 37.76811888504555, -122.2861393362134 37.76945780550474, -122.29148 37.77010910633593, -122.2939963601933 37.77041597970429, -122.3043446292934 37.77463194098321, -122.3189088633861 37.77903954007294, -122.3291682963286 37.78317640873799, -122.330790212691 37.78383040735704, -122.3309593746488 37.78598915059504, -122.3317479372883 37.79605231306826, -122.3355502201394 37.79953774566706, -122.31468 37.794728, -122.312471 37.794484))",Alameda city
1,Alamo CDP,0.0,0.0,0.9881952899616796,100.8,0.0,0.0,0.011804710038320516,1.08,6.0,13.0,6.0,recovery 2013-2017,0.00543895442699638,0.579507228867983,565.0,564.0,06,0015,00618,Alamo,57,CDP,"POLYGON ((-121.990971 37.899524, -121.988771 37.898324, -121.989071 37.896924, -121.988471 37.895124, -121.985871 37.892324, -121.975415 37.883896, -121.96657 37.881124, -121.96277 37.878124, -121.96177 37.876824, -121.96267 37.876624, -121.96297 37.874724, -121.95827 37.872624, -121.95097 37.873324, -121.94937 37.872824, -121.94397 37.866125, -121.94047 37.869624, -121.94327 37.872224, -121.93587 37.869724, -121.93557 37.867624, -121.932169 37.866225, -121.933669 37.864025, -121.933169 37.862725, -121.936169 37.857725, -121.931069 37.853725, -121.926169 37.852225, -121.932669 37.851225, -121.932969 37.849425, -121.921069 37.843025, -121.922569 37.840625, -121.932169 37.841625, -121.933769 37.843925, -121.937069 37.844425, -121.938669 37.841025, -121.94397 37.842125, -121.94617 37.843225, -121.95037 37.844225, -121.95007 37.841225, -121.94797 37.840825, -121.95037 37.836425, -121.95177 37.835025, -121.95557 37.834425, -121.95537 37.835025, -121.95147 37.837225, -121.95007 37.840225, -121.95237 37.845425, -121.954103 37.845415, -121.954164 37.847268, -121.95891 37.848123, -121.961702 37.847803, -121.965849 37.846512, -121.96657 37.846425, -121.97017 37.847425, -121.975371 37.847325, -121.978671 37.844825, -121.986683 37.844525, -121.986642 37.837107, -121.997365 37.837052, -121.997304 37.844904, -122.00337 37.844907, -122.008656 37.846675, -122.011643 37.846856, -122.015074 37.846637, -122.015749 37.846104, -122.014723 37.84469, -122.015197 37.840887, -122.017009 37.841282, -122.018035 37.840612, -122.017496 37.840259, -122.019402 37.838919, -122.015872 37.835525, -122.020672 37.831025, -122.020965 37.828879, -122.020972 37.828826, -122.02168 37.828003, -122.022144 37.829375, -122.024872 37.825226, -122.024127 37.824252, -122.025952 37.820915, -122.025929 37.820795, -122.029636 37.819849, -122.034443 37.816241, -122.035297 37.814906, -122.035272 37.812626, -122.039303 37.809201, -122.042473 37.811026, -122.048873 37.816526, -122.063421 37.826045, -122.062873 37.842625, -122.052473 37.842425, -122.052473 37.845025, -122.051948 37.859356, -122.051773 37.864325, -122.053373 37.865425, -122.058473 37.865425, -122.059473 37.866125, -122.059473 37.871525, -122.067174 37.874025, -122.067174 37.875624, -122.067174 37.880024, -122.063127 37.880723, -122.056487 37.881681, -122.056273 37.881724, -122.056129 37.881146, -122.052373 37.881624, -122.051273 37.880724, -122.048373 37.875524, -122.047273 37.875824, -122.046973 37.875324, -122.045217 37.874756, -122.041373 37.869525, -122.040873 37.869825, -122.039318 37.868422, -122.035802 37.867517, -122.028872 37.867725, -122.028472 37.866025, -122.026672 37.866325, -122.026172 37.866325, -122.025772 37.866325, -122.023472 37.866525, -122.021051 37.866325, -122.019972 37.866325, -122.019672 37.873524, -122.010372 37.872024, -122.015425 37.880998, -122.001473 37.885768, -122.003221 37.890372, -122.004423 37.892118, -122.002164 37.893541, -122.003197 37.900543, -122.004292 37.901888, -122.006886 37.90183, -122.006947 37.902863, -122.004472 37.902924, -121.997271 37.896624, -121.990971 37.899524))",Alamo CDP
2,Albany city,0.038461538461538464,0.038461538461538464,0.9287265603107332,35.46153846153846,0.0,0.0,0.03281190122772853,2.0769230769230766,6.0,1.0,6.0,recovery 2013-2017,0.000407902205775731,0.0937147934318389,567.0,566.0,06,0020,00674,Albany,58,city,"POLYGON ((-122.29448 37.898725, -122.29318 37.898425, -122.29018 37.897825, -122.28848 37.897925, -122.28718 37.898625, -122.28718 37.896625, -122.28718 37.892925, -122.28718 37.891025, -122.28598 37.891125, -122.28298 37.891225, -122.28268 37.886725, -122.28328 37.884925, -122.28208 37.885125, -122.28328 37.882125, -122.28868 37.883025, -122.29028 37.883025, -122.29078 37.883025, -122.29698 37.883125, -122.30848 37.881625, -122.308618 37.882192, -122.3102706584342 37.88183044187171, -122.3101074681937 37.88808580967798, -122.309985649307 37.89275534102073, -122.3132581736247 37.89700961882876, -122.313524935243 37.89723469881289, -122.310881 37.897825, -122.30908 37.897925, -122.30878 37.898025, -122.30618 37.898225, -122.30528 37.898425, -122.304801 37.898425, -122.30148 37.898525, -122.29598 37.898925, -122.29448 37.898725))",Albany city
3,Alum Rock CDP,0.7763734084920251,50.72,0.0,0.0,0.22362659150797484,14.16,0.0,0.0,6.0,85.0,6.0,recovery 2013-2017,0.000309267800500251,0.15761009334818,771.0,770.0,06,0055,01458,Alum Rock,57,CDP,"POLYGON ((-121.834864 37.375339, -121.835577 37.375368, -121.835864 37.375139, -121.836502 37.37598, -121.836608 37.376118, -121.836764 37.376339, -121.838865 37.375339, -121.837965 37.37374, -121.838975 37.372868, -121.839165 37.37294, -121.839765 37.37384, -121.842162 37.377807, -121.840965 37.378539, -121.839165 37.379639, -121.838565 37.378939, -121.838494 37.378975, -121.837965 37.379539, -121.834295 37.381297, -121.833664 37.380539, -121.833541 37.380169, -121.832321 37.377506, -121.832064 37.377739, -121.831771 37.377766, -121.830864 37.378539, -121.827564 37.375539, -121.825464 37.377439, -121.824064 37.376939, -121.821564 37.376039, -121.821664 37.375839, -121.817394 37.374008, -121.816213 37.368381, -121.816764 37.36804, -121.816864 37.36824, -121.819244 37.367016, -121.821236 37.368973, -121.823087 37.367128, -121.821214 37.365765, -121.820107 37.365829, -121.819805 37.366002, -121.819522 37.36617, -121.817964 37.36724, -121.817764 37.36714, -121.816164 37.36524, -121.814864 37.36394, -121.812234 37.361237, -121.812163 37.36074, -121.816393 37.358231, -121.817164 37.35774, -121.818864 37.35954, -121.821394 37.35825, -121.819464 37.35624, -121.820264 37.35564, -121.822592 37.354158, -121.824725 37.356456, -121.831265 37.356789, -121.831364 37.35674, -121.832564 37.35854, -121.832864 37.35884, -121.830064 37.36084, -121.830364 37.36114, -121.826864 37.36274, -121.825864 37.36204, -121.825218 37.362282, -121.824264 37.35904, -121.822864 37.35984, -121.823572 37.36065, -121.821529 37.362132, -121.821732 37.362354, -121.821964 37.36261, -121.822561 37.363187, -121.824968 37.362407, -121.825064 37.36234, -121.825684 37.36296, -121.826464 37.36364, -121.827764 37.36514, -121.828264 37.36584, -121.827064 37.36704, -121.827401 37.367175, -121.828826 37.366391, -121.831864 37.37014, -121.832264 37.37054, -121.832378 37.370483, -121.832611 37.370862, -121.831282 37.371473, -121.830029 37.372049, -121.829441 37.37232, -121.829327 37.372189, -121.828986 37.373071, -121.828964 37.373139, -121.833064 37.373739, -121.834864 37.375339), (-121.834864 37.375339, -121.83348 37.376591, -121.833764 37.376539, -121.835164 37.375639, -121.834864 37.375339))",Alum Rock CDP
4,Angwin CDP,0.0,0.0,0.9364618877185176,54.8,0.0,0.0,0.06353811228148258,3.8,6.0,55.0,6.0,recovery 2013-2017,0.00130603160950013,0.211559675001466,293.0,292.0,06,0083,02168,Angwin,57,CDP,"POLYGON ((-122.485591 38.595306, -122.482291 38.601406, -122.479391 38.599406, -122.475691 38.593706, -122.470191 38.589306, -122.46449 38.586406, -122.45959 38.584706, -122.45649 38.581606, -122.45439 38.581206, -122.45219 38.582306, -122.45649 38.589806, -122.44859 38.588306, -122.44589 38.592906, -122.44509 38.593606, -122.44349 38.593206, -122.44269 38.594006, -122.44139 38.593406, -122.43909 38.592006, -122.43609 38.590306, -122.43239 38.586006, -122.42799 38.582906, -122.42749 38.581306, -122.42249 38.577406, -122.420181 38.573148, -122.42115 38.57153, -122.420751 38.570602, -122.42359 38.569107, -122.43239 38.564707, -122.43709 38.564407, -122.44149 38.565207, -122.44199 38.562507, -122.44469 38.558307, -122.44669 38.558107, -122.44799 38.558607, -122.45259 38.557507, -122.45639 38.552907, -122.46109 38.557507, -122.46079 38.558307, -122.45809 38.559107, -122.45779 38.559707, -122.45889 38.563607, -122.45969 38.564607, -122.45819 38.567307, -122.45699 38.567307, -122.467591 38.570707, -122.469091 38.573307, -122.478791 38.583406, -122.485591 38.595306))",Angwin CDP
5,Antioch city,0.35740173263245273,39.46666666666667,0.22014508505047486,31.16666666666667,0.3425982673675473,33.583333333333336,0.07985491494952518,10.383333333333333,6.0,13.0,6.0,recovery 2013-2017,0.00733416686599986,0.54996010277058,474.0,473.0,06,0085,02252,Antioch,58,city,"POLYGON ((-121.830317 38.029723, -121.827667 38.02792, -121.816954 38.021519, -121.814513 38.020756, -121.80931 38.020321, -121.80127 38.021622, -121.801066 38.016621, -121.799566 38.015321, -121.79846 38.016072, -121.794935 38.015805, -121.794774 38.01434, -121.787339 38.012794, -121.772565 38.012421, -121.772565 38.011221, -121.773465 38.011221, -121.773565 38.007021, -121.777366 38.007721, -121.778166 38.008621, -121.778166 38.007921, -121.782166 38.005321, -121.779966 38.005321, -121.778166 38.005121, -121.772565 38.005121, -121.768965 38.005021, -121.768829 38.01099, -121.754751 38.009632, -121.754793 38.012321, -121.751365 38.012321, -121.750765 38.012321, -121.750765 38.009089, -121.753577 38.005121, -121.752465 38.005121, -121.75244 38.004672, -121.754073 38.00236, -121.756278 37.992093, -121.753565 37.990821, -121.743564 37.983022, -121.732464 37.971422, -121.732464 37.971183, -121.732464 37.964594, -121.732464 37.961622, -121.732464 37.961478, -121.750591 37.961577, -121.75044 37.95309, -121.750366 37.947223, -121.750217 37.93782, -121.773519 37.938523, -121.789703 37.939065, -121.789937 37.932738, -121.795726 37.932536, -121.795969 37.936926, -121.799966 37.938623, -121.801153 37.938567, -121.822206 37.938327, -121.823088 37.95143, -121.822567 37.953922, -121.823299 37.954104, -121.823767 37.955122, -121.822287 37.965475, -121.831356 37.965485, -121.835921 37.967177, -121.835901 37.968029, -121.850416 37.968007, -121.850568 37.983221, -121.854668 37.983221, -121.86112 37.983273, -121.861164 37.989022, -121.861171 37.990003, -121.855383 37.989848, -121.852344 37.989766, -121.852247 37.990295, -121.84739 37.995133, -121.850468 37.997921, -121.855868 37.997721, -121.855868 37.998321, -121.856068 38.001821, -121.855468 38.009221, -121.844968 38.006121, -121.837167 38.003921, -121.836916 38.004188, -121.835967 38.005221, -121.833367 38.007521, -121.833217 38.007708, -121.844564 38.010149, -121.842468 38.012721, -121.842343 38.020329, -121.837531 38.024947, -121.837404 38.027015, -121.836211 38.027537, -121.830317 38.029723), (-121.825267 38.005921, -121.820067 38.004821, -121.819767 38.010421, -121.819767 38.011121, -121.825075 38.0115, -121.825267 38.005921), (-121.843967 37.985857, -121.842367 37.984854, -121.842367 37.989121, -121.848067 37.989821, -121.850668 37.988921, -121.850599 37.987067, -121.849766 37.986532, -121.845333 37.986714, -121.843967 37.985857))",Antioch city
6,Ashland CDP,0.6524310947170503,39.46666666666667,0.09973469585012316,5.133333333333334,0.21423557194961626,12.933333333333335,0.033598637483210174,1.6333333333333333,6.0,1.0,6.0,recovery 2013-2017,0.000492693957500068,0.11985232635376,615.0,614.0,06,0143,02980,Ashland,57,CDP,"POLYGON ((-122.128975 37.70533, -122.124175 37.70923, -122.122475 37.70813, -122.119375 37.70653, -122.116375 37.70473, -122.109178 37.700694, -122.107975 37.69973, -122.105875 37.69763, -122.103674 37.69523, -122.099156 37.690708, -122.093774 37.69033, -122.096174 37.68793, -122.100948 37.685749, -122.100774 37.68563, -122.102374 37.68513, -122.108475 37.684231, -122.110875 37.684131, -122.112775 37.68613, -122.116775 37.68543, -122.122075 37.68563, -122.128775 37.684231, -122.131814 37.686332, -122.132071 37.686303, -122.132875 37.68643, -122.132975 37.68653, -122.132175 37.68653, -122.129875 37.68653, -122.129875 37.69063, -122.129875 37.69243, -122.129275 37.69203, -122.129275 37.69683, -122.128175 37.69773, -122.125275 37.69573, -122.122475 37.69823, -122.122403 37.698234, -122.122275 37.70063, -122.123675 37.70163, -122.126975 37.70393, -122.128975 37.70533))",Ashland CDP
7,Atherton town,0.0,0.0,0.9844703091431872,44.0,0.0,0.0,0.015529690856812769,0.5333333333333333,6.0,81.0,6.0,recovery 2013-2017,0.00130766162150048,0.235341935230399,720.0,719.0,06,0150,03092,Atherton,60,town,"POLYGON ((-122.186076 37.476037, -122.178575 37.475938, -122.174275 37.475138, -122.167875 37.471538, -122.168175 37.470938, -122.173078 37.461271, -122.173175 37.461038, -122.173975 37.459738, -122.175275 37.460538, -122.176675 37.459038, -122.179475 37.460338, -122.179275 37.460738, -122.183311 37.457878, -122.188476 37.460238, -122.186176 37.463238, -122.189279 37.464336, -122.192176 37.461238, -122.193276 37.461857, -122.195336 37.46023, -122.195634 37.459879, -122.187476 37.456038, -122.191776 37.450938, -122.195976 37.445838, -122.200176 37.440838, -122.201776 37.438738, -122.205576 37.440638, -122.207776 37.440138, -122.210376 37.437938, -122.211076 37.438238, -122.212276 37.436738, -122.213376 37.435238, -122.213976 37.431938, -122.216776 37.429038, -122.218576 37.428238, -122.219176 37.429338, -122.220102 37.428389, -122.224877 37.423539, -122.228677 37.424339, -122.226277 37.425938, -122.225877 37.426538, -122.224577 37.428038, -122.225277 37.429538, -122.226677 37.430138, -122.228577 37.429438, -122.232777 37.431638, -122.232877 37.432938, -122.229977 37.436538, -122.230777 37.437138, -122.230677 37.440038, -122.224877 37.443838, -122.221776 37.447938, -122.219876 37.450538, -122.217476 37.453638, -122.220376 37.456238, -122.221776 37.457338, -122.221176 37.458138, -122.220906 37.45857, -122.218533 37.462448, -122.218376 37.463238, -122.216876 37.464738, -122.215976 37.464638, -122.212076 37.469037, -122.211276 37.468537, -122.205726 37.464889, -122.203176 37.467938, -122.202276 37.467538, -122.200076 37.469938, -122.198776 37.470038, -122.197476 37.472137, -122.194776 37.471238, -122.192876 37.470538, -122.191876 37.472138, -122.189439 37.471187, -122.188476 37.473038, -122.186076 37.476037))",Atherton town
8,Bay Point CDP,0.3012111701341995,25.466666666666665,0.262501801412932,67.1,0.3654554965324671,29.86666666666667,0.07083153192040137,10.566666666666666,6.0,13.0,6.0,recovery 2013-2017,0.00247413755349933,0.29251015691061,459.0,458.0,06,0197,04415,Bay Point,57,CDP,"POLYGON ((-121.986172 38.045519, -121.989172 38.046919, -121.992573 38.054419, -121.978372 38.048019, -121.969751 38.048514, -121.960272 38.048219, -121.957171 38.048919, -121.953171 38.048119, -121.949871 38.050819, -121.937571 38.045419, -121.928481 38.044132, -121.928576 38.030172, -121.931271 38.030811, -121.93247 38.02692, -121.93227 38.02692, -121.932261 38.02676, -121.928466 38.026784, -121.927379 38.026755, -121.927404 38.02631, -121.927455 38.025393, -121.92797 38.02342, -121.927881 38.01942, -121.92837 38.01942, -121.932545 38.01942, -121.93287 38.01942, -121.93277 38.01752, -121.93377 38.01682, -121.93727 38.01802, -121.93957 38.01632, -121.94107 38.015982, -121.94107 38.01564, -121.942082 38.015667, -121.942157 38.019075, -121.949194 38.019295, -121.954918 38.021091, -121.964661 38.022674, -121.96874 38.023798, -121.975937 38.023483, -121.981614 38.021411, -121.982807 38.020326, -121.986466 38.018711, -121.989091 38.016579, -121.990772 38.01802, -121.995572 38.01492, -121.996571 38.013322, -121.998009 38.013126, -122.000072 38.01282, -122.002672 38.01222, -122.005672 38.01452, -122.013073 38.01872, -122.023273 38.02272, -122.025973 38.02402, -122.030008 38.031031, -122.030373 38.03342, -122.024573 38.03742, -122.008373 38.03902, -122.006773 38.04042, -121.996372 38.03782, -121.991972 38.03742, -121.990372 38.03592, -121.987672 38.03602, -121.988172 38.043919, -121.988118 38.043921, -121.988212 38.044891, -121.986172 38.045519))",Bay Point CDP
9,Bayview-Montalvin CDP,0.17105263157894735,13.0,0.5588797220751065,47.0,0.02894736842105263,2.2,0.24112027792489354,20.4,6.0,13.0,6.0,recovery 2013-2017,0.00020598188752724,0.0725498539416536,489.0,488.0,06,0200,04503,Bayview-Montalvin,57,CDP,"POLYGON ((-122.316181 38.011922, -122.314028 38.011534, -122.314419 38.00911, -122.314981 38.005222, -122.315335 38.005108, -122.318081 38.004222, -122.317181 38.003722, -122.31794 38.002692, -122.322981 38.000122, -122.327681 37.996222, -122.332281 37.992022, -122.336581 37.994722, -122.337781 37.999122, -122.329181 38.001022, -122.329881 38.002222, -122.331362056137 38.00571306089275, -122.331319901435 38.00574244146512, -122.3248786693721 38.01023178846277, -122.317981 38.011522, -122.316881 38.011922, -122.316181 38.011922))",Bayview-Montalvin CDP
10,Belmont city,0.0,0.0,0.9865564748570718,61.53333333333333,0.0,0.0,0.013443525142928145,0.7333333333333333,6.0,81.0,6.0,recovery 2013-2017,0.00119562378249877,0.210745581855696,696.0,695.0,06,0225,05108,Belmont,58,city,"POLYGON ((-122.265578 37.534736, -122.268878 37.531736, -122.270566 37.529668, -122.270278 37.529236, -122.269175 37.528388, -122.261529 37.520884, -122.262308 37.520061, -122.264717 37.522081, -122.264778 37.522136, -122.266669 37.523143, -122.266878 37.523836, -122.268278 37.524936, -122.268478 37.524636, -122.271478 37.521836, -122.271978 37.521236, -122.273078 37.520336, -122.272778 37.519236, -122.270713 37.517565, -122.268378 37.515536, -122.268478 37.515436, -122.270078 37.514036, -122.271878 37.512636, -122.272678 37.512136, -122.273778 37.511036, -122.278978 37.513936, -122.279478 37.513637, -122.279678 37.513337, -122.28297 37.510887, -122.286773 37.510975, -122.288979 37.508037, -122.288479 37.505137, -122.286979 37.501637, -122.286539 37.501365, -122.286255 37.501307, -122.288847 37.500738, -122.28801 37.499595, -122.289084 37.499652, -122.29032 37.499431, -122.292662 37.498989, -122.292214 37.498424, -122.296219 37.498049, -122.297186 37.497533, -122.301691 37.500026, -122.303362 37.498862, -122.30818 37.502537, -122.30948 37.502137, -122.31518 37.503137, -122.32048 37.504038, -122.32178 37.506537, -122.32658 37.511637, -122.328981 37.513437, -122.32508 37.517337, -122.32548 37.519437, -122.32388 37.520737, -122.32138 37.520837, -122.320324 37.519617, -122.314965 37.519249, -122.31478 37.519237, -122.31438 37.520637, -122.31238 37.522937, -122.31188 37.524237, -122.31048 37.523437, -122.30728 37.521037, -122.30668 37.521437, -122.301979 37.523537, -122.297179 37.525536, -122.296079 37.526036, -122.294479 37.526736, -122.293279 37.527336, -122.292679 37.527636, -122.291879 37.527936, -122.288079 37.529736, -122.287679 37.529536, -122.287479 37.529736, -122.287179 37.530036, -122.285079 37.530736, -122.278978 37.529336, -122.278623 37.530118, -122.275478 37.531336, -122.278078 37.533936, -122.276878 37.534436, -122.268521 37.534636, -122.265578 37.534736))",Belmont city
11,Belvedere city,0.0,0.0,1.0,73.4,0.0,0.0,0.0,0.0,6.0,41.0,6.0,recovery 2013-2017,0.000318942661962918,0.0962933108246097,572.0,571.0,06,0230,05164,Belvedere,58,city,"POLYGON ((-122.472684 37.883426, -122.472384 37.883226, -122.471884 37.883126, -122.471984 37.883926, -122.466483 37.881726, -122.463383 37.878826, -122.460183 37.876226, -122.459535 37.8745, -122.459477 37.874372, -122.459783 37.874326, -122.458725 37.873853, -122.457683 37.873038, -122.457443 37.872657, -122.456983 37.872626, -122.456847 37.872463, -122.456483 37.872026, -122.455883 37.871326, -122.4544979179829 37.87031516019924, -122.4621578842225 37.86886597517436, -122.4742662216614 37.87442926397783, -122.4808112702969 37.87344750414583, -122.4816838950758 37.87192040655515, -122.4834292796043 37.86886597517436, -122.4832964488829 37.86687354781537, -122.488884 37.869426, -122.486684 37.873726, -122.487984 37.874326, -122.482384 37.884126, -122.481284 37.885826, -122.478484 37.887626, -122.472684 37.883426))",Belvedere city
12,Benicia city,0.0,0.0,0.8982441760127895,78.075,0.0,0.0,0.1017558239872105,7.75,6.0,95.0,6.0,recovery 2013-2017,0.00414378889616632,0.327684935475339,443.0,442.0,06,0235,05290,Benicia,58,city,"POLYGON ((-122.14427 38.095226, -122.1409554716797 38.10203518398438, -122.139637 38.108046, -122.140198 38.110766, -122.132341 38.10683, -122.136519 38.102476, -122.129946 38.098714, -122.12825 38.096636, -122.127265 38.093299, -122.127367 38.091839, -122.128391 38.090309, -122.122077 38.089119, -122.118777 38.087019, -122.114276 38.086019, -122.112476 38.085119, -122.105981 38.092812, -122.103643 38.093871, -122.105844 38.085583, -122.106964 38.083503, -122.121576 38.067419, -122.118076 38.06092, -122.126665 38.045622, -122.137297 38.040693, -122.14798 38.040129, -122.152147 38.032249, -122.156652 38.032917, -122.159681 38.033399, -122.165662 38.035399, -122.167577 38.036721, -122.169536 38.039275, -122.174939 38.046431, -122.183863 38.053997, -122.194805 38.056533, -122.194214 38.058928, -122.195078 38.06042, -122.194796 38.06156, -122.194878 38.06182, -122.198076 38.071703, -122.198493 38.074771, -122.198345 38.083531, -122.194205 38.080957, -122.19388 38.083627, -122.193579 38.083619, -122.192679 38.081719, -122.182972 38.099276, -122.171494 38.093567, -122.17143 38.090031, -122.17007 38.089359, -122.164178 38.100219, -122.162978 38.101119, -122.160878 38.100419, -122.157578 38.098719, -122.152478 38.098219, -122.14427 38.095226))",Benicia city
13,Berkeley city,0.3301734607447185,7.07361963190184,0.6367902034587508,18.319018404907972,0.013384821463870385,0.3374233128834356,0.0196515143326602,0.5460122699386503,6.0,1.0,6.0,recovery 2013-2017,0.00274296252030204,0.258591632152194,564.0,563.0,06,0245,06000,Berkeley,58,city,"POLYGON ((-122.27168 37.904725, -122.27088 37.904525, -122.26998 37.904525, -122.26938 37.904125, -122.267527 37.904421, -122.267116 37.904487, -122.26388 37.903425, -122.26138 37.899625, -122.26028 37.900025, -122.256779 37.899525, -122.256879 37.896925, -122.256279 37.896325, -122.249379 37.892725, -122.248979 37.891225, -122.249779 37.889625, -122.249479 37.889225, -122.249179 37.888025, -122.248879 37.886925, -122.247279 37.885725, -122.245979 37.884725, -122.245679 37.880925, -122.244692 37.869757, -122.244679 37.869425, -122.244379 37.865925, -122.244307 37.86478, -122.244242 37.86374, -122.243979 37.861026, -122.243979 37.860626, -122.244479 37.858926, -122.243779 37.859126, -122.243879 37.858626, -122.242479 37.857826, -122.241656 37.857312, -122.234879 37.857426, -122.234179 37.852526, -122.241879 37.852126, -122.25158 37.851326, -122.25308 37.851326, -122.25358 37.851426, -122.25668 37.853226, -122.26088 37.852726, -122.26238 37.852626, -122.26668 37.852226, -122.26948 37.851826, -122.26928 37.850626, -122.27008 37.848326, -122.26958 37.847526, -122.27158 37.846826, -122.27808 37.847726, -122.28388 37.850326, -122.28642 37.850186, -122.28658 37.850626, -122.28938 37.849926, -122.29258 37.849326, -122.29508 37.848626, -122.3013858798012 37.84726951259935, -122.3013134903052 37.84775814274982, -122.3104765482481 37.8739383246083, -122.3102706584342 37.88183044187171, -122.308618 37.882192, -122.30848 37.881625, -122.29698 37.883125, -122.29078 37.883025, -122.29028 37.883025, -122.28868 37.883025, -122.28328 37.882125, -122.28208 37.885125, -122.28328 37.884925, -122.28268 37.886725, -122.28298 37.891225, -122.28598 37.891125, -122.28718 37.891025, -122.28718 37.892925, -122.28718 37.896625, -122.28718 37.898625, -122.28628 37.898925, -122.28408 37.899825, -122.27988 37.900625, -122.27798 37.901625, -122.27838 37.903225, -122.27508 37.904425, -122.27468 37.904725, -122.27168 37.904725))",Berkeley city
14,Bethel Island CDP,0.14743589743589744,23.0,0.6597488412635798,158.0,0.05256410256410257,8.2,0.14025115873642027,33.2,6.0,13.0,6.0,recovery 2013-2017,0.00135898853700012,0.176972647353317,464.0,463.0,06,0249,06210,Bethel Island,57,CDP,"POLYGON ((-121.659464 38.04712, -121.654364 38.04632, -121.649864 38.04652, -121.650064 38.04402, -121.649364 38.04262, -121.648564 38.04212, -121.645733 38.044239, -121.645504 38.044933, -121.642681 38.045178, -121.641764 38.04472, -121.639324 38.04485, -121.637264 38.04432, -121.636104 38.042759, -121.62495 38.033727, -121.622081 38.032743, -121.615611 38.028699, -121.610963 38.022121, -121.609278 38.019513, -121.609614 38.018735, -121.613841 38.016072, -121.614802 38.014898, -121.617463 38.014621, -121.618083 38.013982, -121.618363 38.012421, -121.621546 38.013608, -121.622599 38.012235, -121.62942 38.009442, -121.632641 38.011182, -121.63705 38.012784, -121.644222 38.014051, -121.648693 38.017705, -121.652157 38.018354, -121.656841 38.021024, -121.657116 38.022023, -121.659221 38.024549, -121.661464 38.026521, -121.662964 38.026521, -121.663464 38.028621, -121.669364 38.03102, -121.673664 38.03202, -121.671264 38.03412, -121.672064 38.03622, -121.672964 38.03702, -121.676064 38.03652, -121.675464 38.04102, -121.672364 38.04082, -121.661064 38.04182, -121.659764 38.04452, -121.659464 38.04712))",Bethel Island CDP
15,Black Point-Green Point CDP,0.0,0.0,0.9068095037057884,48.2,0.0,0.0,0.09319049629421146,5.0,6.0,41.0,6.0,recovery 2013-2017,0.000472638269924108,0.139123642395798,439.0,438.0,06,0277,06982,Black Point-Green Point,57,CDP,"POLYGON ((-122.53719 38.116519, -122.536109 38.116969, -122.53369 38.113319, -122.52829 38.117019, -122.52659 38.116019, -122.517434 38.120593, -122.51369 38.125819, -122.51559 38.128819, -122.51619 38.130319, -122.51449 38.130619, -122.511789 38.120519, -122.510089 38.117719, -122.506583 38.114596, -122.502289 38.111219, -122.494788 38.109219, -122.4911155718572 38.10666141611483, -122.4903697998212 38.10032233935704, -122.49479 38.100361, -122.501588 38.100419, -122.501489 38.106319, -122.509289 38.106319, -122.511889 38.104219, -122.512789 38.104119, -122.514889 38.105019, -122.52569 38.106319, -122.53619 38.111819, -122.53719 38.116519))",Black Point-Green Point CDP
