Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,Period
2501.03,2013,Solano County,mid,not eligible,0.0,0,0.7051282051282052,55,0.0,0,0.0,0,,,slump 2008-2012
2501.04,2013,Solano County,high,not eligible,0.0,0,0.7,28,0.0,0,0.0,0,,,slump 2008-2012
2501.05,2013,Solano County,high,not eligible,0.0,0,0.8785714285714286,123,0.0,0,0.0,0,,,slump 2008-2012
2501.06,2013,Solano County,high,not eligible,0.0,0,0.8666666666666667,104,0.0,0,0.0,0,,,slump 2008-2012
2501.06,2013,Solano County,high,not eligible,0.0,0,0.8666666666666667,104,0.0,0,0.0,0,,,slump 2008-2012
2502.0,2013,Solano County,mod,eligible,0.5689655172413793,33,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2502.0,2013,Solano County,mod,eligible,0.5689655172413793,33,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2503.0,2013,Solano County,mod,eligible,0.4705882352941176,16,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2504.0,2013,Solano County,mid,not eligible,0.0,0,0.3220338983050847,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2504.0,2013,Solano County,mid,not eligible,0.0,0,0.3220338983050847,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2505.01,2013,Solano County,mid,not eligible,0.0,0,0.4634146341463415,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2505.01,2013,Solano County,mid,not eligible,0.0,0,0.4634146341463415,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2505.02,2013,Solano County,mid,not eligible,0.0,0,0.515625,33,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2505.02,2013,Solano County,mid,not eligible,0.0,0,0.515625,33,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2505.02,2013,Solano County,mid,not eligible,0.0,0,0.515625,33,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2506.01,2013,Solano County,mid,not eligible,0.0,0,0.4383561643835616,32,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2506.01,2013,Solano County,mid,not eligible,0.0,0,0.4383561643835616,32,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2506.04,2013,Solano County,high,not eligible,0.0,0,0.7826086956521741,54,0.0,0,0.0,0,,,slump 2008-2012
2506.04,2013,Solano County,high,not eligible,0.0,0,0.7826086956521741,54,0.0,0,0.0,0,,,slump 2008-2012
2506.05,2013,Solano County,high,not eligible,0.0,0,0.8307692307692308,54,0.0,0,0.0,0,,,slump 2008-2012
2506.05,2013,Solano County,high,not eligible,0.0,0,0.8307692307692308,54,0.0,0,0.0,0,,,slump 2008-2012
2506.05,2013,Solano County,high,not eligible,0.0,0,0.8307692307692308,54,0.0,0,0.0,0,,,slump 2008-2012
2507.01,2013,Solano County,mod,eligible,0.4545454545454545,15,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2507.01,2013,Solano County,mod,eligible,0.4545454545454545,15,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2508.01,2013,Solano County,mod,eligible,0.5714285714285714,28,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
2508.01,2013,Solano County,mod,eligible,0.5714285714285714,28,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
2509.0,2013,Solano County,low,eligible,0.625,10,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2510.0,2013,Solano County,low,eligible,0.75,39,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2511.0,2013,Solano County,mod,eligible,0.4375,21,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2511.0,2013,Solano County,mod,eligible,0.4375,21,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2512.0,2013,Solano County,mod,eligible,0.3461538461538461,18,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2513.0,2013,Solano County,mid,not eligible,0.0,0,0.64,48,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2514.0,2013,Solano County,mid,not eligible,0.0,0,0.6929824561403509,79,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2515.0,2013,Solano County,mod,eligible,0.509090909090909,28,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2516.0,2013,Solano County,mod,eligible,0.4375,14,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2517.01,2013,Solano County,mod,eligible,0.6888888888888889,31,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2517.01,2013,Solano County,mod,eligible,0.6888888888888889,31,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2517.02,2013,Solano County,mid,not eligible,0.0,0,0.5666666666666667,17,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.02,2013,Solano County,mod,eligible,0.5,4,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.02,2013,Solano County,mod,eligible,0.5,4,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.03,2013,Solano County,mid,not eligible,0.0,0,0.40425531914893614,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.03,2013,Solano County,mid,not eligible,0.0,0,0.40425531914893614,19,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.04,2013,Solano County,mid,not eligible,0.0,0,0.5806451612903226,18,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2518.04,2013,Solano County,mid,not eligible,0.0,0,0.5806451612903226,18,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2519.01,2013,Solano County,mid,not eligible,0.0,0,0.543859649122807,31,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2519.02,2013,Solano County,mid,not eligible,0.0,0,0.4533333333333333,34,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2519.03,2013,Solano County,mid,not eligible,0.0,0,0.3968253968253968,25,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2520.0,2013,Solano County,mid,not eligible,0.0,0,0.8939393939393939,59,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.02,2013,Solano County,mid,not eligible,0.0,0,0.8505747126436781,74,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.02,2013,Solano County,mid,not eligible,0.0,0,0.8505747126436781,74,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.03,2013,Solano County,mid,not eligible,0.0,0,0.6891891891891891,51,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.04,2013,Solano County,high,not eligible,0.0,0,0.9787234042553192,138,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.04,2013,Solano County,high,not eligible,0.0,0,0.9787234042553192,138,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.04,2013,Solano County,high,not eligible,0.0,0,0.9787234042553192,138,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.05,2013,Solano County,high,not eligible,0.0,0,0.9736842105263158,74,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.06,2013,Solano County,mid,not eligible,0.0,0,0.8918918918918919,66,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.07,2013,Solano County,mid,not eligible,0.0,0,0.9718309859154928,69,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2521.08,2013,Solano County,high,not eligible,0.0,0,0.9166666666666666,55,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.01,2013,Solano County,high,not eligible,0.0,0,0.917910447761194,246,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.01,2013,Solano County,high,not eligible,0.0,0,0.917910447761194,246,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.01,2013,Solano County,high,not eligible,0.0,0,0.917910447761194,246,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.01,2013,Solano County,high,not eligible,0.0,0,0.917910447761194,246,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.02,2013,Solano County,high,not eligible,0.0,0,0.8878205128205128,277,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.02,2013,Solano County,high,not eligible,0.0,0,0.8878205128205128,277,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2522.02,2013,Solano County,high,not eligible,0.0,0,0.8878205128205128,277,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2523.05,2013,Solano County,high,not eligible,0.0,0,0.8018867924528302,85,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2523.05,2013,Solano County,high,not eligible,0.0,0,0.8018867924528302,85,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2523.06,2013,Solano County,mid,not eligible,0.0,0,0.7790697674418605,67,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2523.06,2013,Solano County,mid,not eligible,0.0,0,0.7790697674418605,67,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2523.1,2013,Solano County,high,not eligible,0.0,0,0.967391304347826,89,0.0,0,0.0,0,,,slump 2008-2012
2523.1,2013,Solano County,high,not eligible,0.0,0,0.967391304347826,89,0.0,0,0.0,0,,,slump 2008-2012
2523.11,2013,Solano County,high,not eligible,0.0,0,0.9102564102564102,71,0.0,0,0.0,0,,,slump 2008-2012
2523.11,2013,Solano County,high,not eligible,0.0,0,0.9102564102564102,71,0.0,0,0.0,0,,,slump 2008-2012
2523.12,2013,Solano County,mid,not eligible,0.0,0,0.5714285714285714,28,0.0,0,0.0,0,,,slump 2008-2012
2523.13,2013,Solano County,mid,not eligible,0.0,0,0.8461538461538461,132,0.0,0,0.0,0,,,slump 2008-2012
2523.13,2013,Solano County,mid,not eligible,0.0,0,0.8461538461538461,132,0.0,0,0.0,0,,,slump 2008-2012
2523.13,2013,Solano County,mid,not eligible,0.0,0,0.8461538461538461,132,0.0,0,0.0,0,,,slump 2008-2012
2523.14,2013,Solano County,mid,not eligible,0.0,0,0.6511627906976745,28,0.0,0,0.0,0,,,slump 2008-2012
2523.15,2013,Solano County,high,not eligible,0.0,0,0.8835616438356164,129,0.0,0,0.0,0,,,slump 2008-2012
2523.16,2013,Solano County,mid,not eligible,0.0,0,0.6101694915254238,36,0.0,0,0.0,0,,,slump 2008-2012
2523.17,2013,Solano County,high,not eligible,0.0,0,0.8611825192802056,335,0.0,0,0.0,0,,,slump 2008-2012
2523.17,2013,Solano County,high,not eligible,0.0,0,0.8611825192802056,335,0.0,0,0.0,0,,,slump 2008-2012
2523.17,2013,Solano County,high,not eligible,0.0,0,0.8611825192802056,335,0.0,0,0.0,0,,,slump 2008-2012
2524.01,2013,Solano County,mod,eligible,0.3728813559322034,22,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2524.02,2013,Solano County,mod,eligible,0.4634146341463415,38,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2524.02,2013,Solano County,mod,eligible,0.4634146341463415,38,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2524.02,2013,Solano County,mod,eligible,0.4634146341463415,38,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2525.01,2013,Solano County,mod,eligible,0.35294117647058826,12,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2525.02,2013,Solano County,mod,eligible,0.7,7,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2525.02,2013,Solano County,mod,eligible,0.7,7,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.04,2013,Solano County,mod,eligible,0.6551724137931034,19,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.05,2013,Solano County,mod,eligible,0.6285714285714286,22,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.06,2013,Solano County,mod,eligible,0.55,55,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.07,2013,Solano County,mod,eligible,0.35294117647058826,12,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.08,2013,Solano County,mod,eligible,0.36,9,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2526.1,2013,Solano County,mid,not eligible,0.0,0,0.4918032786885246,30,0.0,0,0.0,0,,,slump 2008-2012
2526.11,2013,Solano County,mod,eligible,0.4482758620689655,13,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
2526.11,2013,Solano County,mod,eligible,0.4482758620689655,13,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
2526.11,2013,Solano County,mod,eligible,0.4482758620689655,13,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
2527.02,2013,Solano County,mid,not eligible,0.0,0,0.6842105263157895,78,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.02,2013,Solano County,mid,not eligible,0.0,0,0.6842105263157895,78,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.03,2013,Solano County,mid,not eligible,0.0,0,0.5584415584415584,43,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.04,2013,Solano County,mid,not eligible,0.0,0,0.5588235294117647,38,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.05,2013,Solano County,mid,not eligible,0.0,0,0.4444444444444444,44,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.06,2013,Solano County,mid,not eligible,0.0,0,0.67,67,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.06,2013,Solano County,mid,not eligible,0.0,0,0.67,67,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.06,2013,Solano County,mid,not eligible,0.0,0,0.67,67,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.07,2013,Solano County,mod,eligible,0.4722222222222222,51,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.07,2013,Solano County,mod,eligible,0.4722222222222222,51,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2527.07,2013,Solano County,mod,eligible,0.4722222222222222,51,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2528.02,2013,Solano County,mid,not eligible,0.0,0,0.5,2,0.0,0,0.0,0,,,slump 2008-2012
2529.03,2013,Solano County,high,not eligible,0.0,0,0.98,98,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.03,2013,Solano County,high,not eligible,0.0,0,0.98,98,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.03,2013,Solano County,high,not eligible,0.0,0,0.98,98,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.03,2013,Solano County,high,not eligible,0.0,0,0.98,98,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.04,2013,Solano County,mid,not eligible,0.0,0,0.8385964912280702,239,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.04,2013,Solano County,mid,not eligible,0.0,0,0.8385964912280702,239,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.04,2013,Solano County,mid,not eligible,0.0,0,0.8385964912280702,239,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.04,2013,Solano County,mid,not eligible,0.0,0,0.8385964912280702,239,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.04,2013,Solano County,mid,not eligible,0.0,0,0.8385964912280702,239,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.08,2013,Solano County,mid,not eligible,0.0,0,0.5689655172413793,33,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.09,2013,Solano County,mid,not eligible,0.0,0,0.7647058823529411,39,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.09,2013,Solano County,mid,not eligible,0.0,0,0.7647058823529411,39,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.1,2013,Solano County,high,not eligible,0.0,0,0.8288288288288288,92,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2529.11,2013,Solano County,mid,not eligible,0.0,0,0.5227272727272727,69,0.0,0,0.0,0,,,slump 2008-2012
2529.12,2013,Solano County,high,not eligible,0.0,0,0.8598130841121495,92,0.0,0,0.0,0,,,slump 2008-2012
2529.13,2013,Solano County,high,not eligible,0.0,0,0.8046875,103,0.0,0,0.0,0,,,slump 2008-2012
2529.13,2013,Solano County,high,not eligible,0.0,0,0.8046875,103,0.0,0,0.0,0,,,slump 2008-2012
2529.14,2013,Solano County,mid,not eligible,0.0,0,0.7154471544715447,88,0.0,0,0.0,0,,,slump 2008-2012
2529.14,2013,Solano County,mid,not eligible,0.0,0,0.7154471544715447,88,0.0,0,0.0,0,,,slump 2008-2012
2529.15,2013,Solano County,high,not eligible,0.0,0,0.8967741935483872,139,0.0,0,0.0,0,,,slump 2008-2012
2529.15,2013,Solano County,high,not eligible,0.0,0,0.8967741935483872,139,0.0,0,0.0,0,,,slump 2008-2012
2531.01,2013,Solano County,mid,not eligible,0.0,0,0.648,81,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.01,2013,Solano County,mid,not eligible,0.0,0,0.648,81,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.05,2013,Solano County,mod,eligible,0.5616438356164384,41,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.06,2013,Solano County,mid,not eligible,0.0,0,0.5806451612903226,36,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.07,2013,Solano County,mid,not eligible,0.0,0,0.671875,43,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.08,2013,Solano County,mod,eligible,0.5496183206106869,72,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2531.08,2013,Solano County,mod,eligible,0.5496183206106869,72,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2532.01,2013,Solano County,high,not eligible,0.0,0,0.8041237113402062,78,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2532.01,2013,Solano County,high,not eligible,0.0,0,0.8041237113402062,78,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2532.03,2013,Solano County,mod,eligible,0.6283185840707964,71,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2532.03,2013,Solano County,mod,eligible,0.6283185840707964,71,0.0,0,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2532.04,2013,Solano County,mid,not eligible,0.0,0,0.9270833333333334,89,0.0,0,0.0,0,,,slump 2008-2012
2532.04,2013,Solano County,mid,not eligible,0.0,0,0.9270833333333334,89,0.0,0,0.0,0,,,slump 2008-2012
2532.05,2013,Solano County,mid,not eligible,0.0,0,0.8688524590163934,53,0.0,0,0.0,0,,,slump 2008-2012
2532.06,2013,Solano County,high,not eligible,0.0,0,0.9012345679012346,73,0.0,0,0.0,0,,,slump 2008-2012
2532.06,2013,Solano County,high,not eligible,0.0,0,0.9012345679012346,73,0.0,0,0.0,0,,,slump 2008-2012
2532.06,2013,Solano County,high,not eligible,0.0,0,0.9012345679012346,73,0.0,0,0.0,0,,,slump 2008-2012
2533.0,2013,Solano County,mid,not eligible,0.0,0,0.9166666666666666,11,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2533.0,2013,Solano County,mid,not eligible,0.0,0,0.9166666666666666,11,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2533.0,2013,Solano County,mid,not eligible,0.0,0,0.9166666666666666,11,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2533.0,2013,Solano County,mid,not eligible,0.0,0,0.9166666666666666,11,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2534.02,2013,Solano County,mid,not eligible,0.0,0,0.6576576576576577,73,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2534.02,2013,Solano County,mid,not eligible,0.0,0,0.6576576576576577,73,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2534.03,2013,Solano County,mid,not eligible,0.0,0,0.7738095238095238,65,0.0,0,0.0,0,,,slump 2008-2012
2534.03,2013,Solano County,mid,not eligible,0.0,0,0.7738095238095238,65,0.0,0,0.0,0,,,slump 2008-2012
2534.04,2013,Solano County,mid,not eligible,0.0,0,0.7328244274809159,96,0.0,0,0.0,0,,,slump 2008-2012
2535.0,2013,Solano County,mid,not eligible,0.0,0,0.6311881188118812,255,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
2535.0,2013,Solano County,mid,not eligible,0.0,0,0.6311881188118812,255,0.0,0,0.0,0,6.0,95.0,slump 2008-2012
1501.0,2013,Sonoma County,high,not eligible,0.0,0,0.9629629629629628,26,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1501.0,2013,Sonoma County,high,not eligible,0.0,0,0.9629629629629628,26,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1501.0,2013,Sonoma County,high,not eligible,0.0,0,0.9629629629629628,26,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1502.02,2013,Sonoma County,high,not eligible,0.0,0,0.9090909090909092,80,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1502.02,2013,Sonoma County,high,not eligible,0.0,0,0.9090909090909092,80,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1502.03,2013,Sonoma County,mid,not eligible,0.0,0,0.9043478260869564,104,0.0,0,0.0,0,,,slump 2008-2012
1502.03,2013,Sonoma County,mid,not eligible,0.0,0,0.9043478260869564,104,0.0,0,0.0,0,,,slump 2008-2012
1502.04,2013,Sonoma County,high,not eligible,0.0,0,0.9550561797752808,85,0.0,0,0.0,0,,,slump 2008-2012
1502.04,2013,Sonoma County,high,not eligible,0.0,0,0.9550561797752808,85,0.0,0,0.0,0,,,slump 2008-2012
1503.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7542372881355932,89,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7542372881355932,89,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7542372881355932,89,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7542372881355932,89,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.04,2013,Sonoma County,mod,eligible,0.9222222222222224,83,0.0,0,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.04,2013,Sonoma County,mod,eligible,0.9222222222222224,83,0.0,0,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1503.05,2013,Sonoma County,mod,eligible,0.7903225806451613,49,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
1503.05,2013,Sonoma County,mod,eligible,0.7903225806451613,49,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
1503.05,2013,Sonoma County,mod,eligible,0.7903225806451613,49,0.0,0,0.0,0,0.0,0,,,slump 2008-2012
1503.06,2013,Sonoma County,mid,not eligible,0.0,0,0.8901098901098901,81,0.0,0,0.0,0,,,slump 2008-2012
1503.06,2013,Sonoma County,mid,not eligible,0.0,0,0.8901098901098901,81,0.0,0,0.0,0,,,slump 2008-2012
1503.06,2013,Sonoma County,mid,not eligible,0.0,0,0.8901098901098901,81,0.0,0,0.0,0,,,slump 2008-2012
1505.0,2013,Sonoma County,high,not eligible,0.0,0,0.9871794871794872,77,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1505.0,2013,Sonoma County,high,not eligible,0.0,0,0.9871794871794872,77,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1505.0,2013,Sonoma County,high,not eligible,0.0,0,0.9871794871794872,77,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1505.0,2013,Sonoma County,high,not eligible,0.0,0,0.9871794871794872,77,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1506.01,2013,Sonoma County,mid,not eligible,0.0,0,0.84375,54,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1506.02,2013,Sonoma County,mid,not eligible,0.0,0,0.8260869565217391,57,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1506.03,2013,Sonoma County,mid,not eligible,0.0,0,0.8495575221238938,96,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1506.03,2013,Sonoma County,mid,not eligible,0.0,0,0.8495575221238938,96,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1506.07,2013,Sonoma County,high,not eligible,0.0,0,0.9506172839506172,77,0.0,0,0.0,0,,,slump 2008-2012
1506.07,2013,Sonoma County,high,not eligible,0.0,0,0.9506172839506172,77,0.0,0,0.0,0,,,slump 2008-2012
1506.07,2013,Sonoma County,high,not eligible,0.0,0,0.9506172839506172,77,0.0,0,0.0,0,,,slump 2008-2012
1506.09,2013,Sonoma County,mid,not eligible,0.0,0,0.7051282051282052,55,0.0,0,0.0,0,,,slump 2008-2012
1506.1,2013,Sonoma County,high,not eligible,0.0,0,0.8301886792452831,44,0.0,0,0.0,0,,,slump 2008-2012
1506.1,2013,Sonoma County,high,not eligible,0.0,0,0.8301886792452831,44,0.0,0,0.0,0,,,slump 2008-2012
1506.11,2013,Sonoma County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.0,0,,,slump 2008-2012
1506.11,2013,Sonoma County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.0,0,,,slump 2008-2012
1506.12,2013,Sonoma County,high,not eligible,0.0,0,0.8604651162790697,37,0.0,0,0.0,0,,,slump 2008-2012
1506.12,2013,Sonoma County,high,not eligible,0.0,0,0.8604651162790697,37,0.0,0,0.0,0,,,slump 2008-2012
1506.12,2013,Sonoma County,high,not eligible,0.0,0,0.8604651162790697,37,0.0,0,0.0,0,,,slump 2008-2012
1507.01,2013,Sonoma County,mid,not eligible,0.0,0,0.9154929577464788,65,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1507.01,2013,Sonoma County,mid,not eligible,0.0,0,0.9154929577464788,65,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1507.02,2013,Sonoma County,high,not eligible,0.0,0,0.9701492537313432,130,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1507.02,2013,Sonoma County,high,not eligible,0.0,0,0.9701492537313432,130,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1508.0,2013,Sonoma County,mid,not eligible,0.0,0,0.9365079365079364,59,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1508.0,2013,Sonoma County,mid,not eligible,0.0,0,0.9365079365079364,59,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1509.01,2013,Sonoma County,mid,not eligible,0.0,0,0.734375,47,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1509.01,2013,Sonoma County,mid,not eligible,0.0,0,0.734375,47,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1509.02,2013,Sonoma County,high,not eligible,0.0,0,0.9692307692307692,63,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1509.02,2013,Sonoma County,high,not eligible,0.0,0,0.9692307692307692,63,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1510.0,2013,Sonoma County,high,not eligible,0.0,0,0.9555555555555556,43,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1510.0,2013,Sonoma County,high,not eligible,0.0,0,0.9555555555555556,43,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1511.0,2013,Sonoma County,mid,not eligible,0.0,0,0.9361702127659576,44,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1512.01,2013,Sonoma County,mod,eligible,0.6913580246913579,56,0.0,0,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
1512.01,2013,Sonoma County,mod,eligible,0.6913580246913579,56,0.0,0,0.0,0,0.0,0,6.0,97.0,slump 2008-2012
